Business Date,Business Hour,Location Name,Net Sales Total  (Sum),Number of Guests  (Sum)
6/16/2019,2:00 PM - 2:59 PM,3,500.12,17
6/16/2019,12:00 PM - 12:59 PM,3,370.96,32
6/16/2019,4:00 PM - 4:59 PM,3,73.7,9
6/16/2019,4:00 PM - 4:59 PM,3,332.23,12
6/16/2019,5:00 PM - 5:59 PM,3,379.99,28
6/16/2019,6:00 PM - 6:59 PM,3,535.76,29
6/16/2019,9:00 PM - 9:59 PM,3,54.15,5
6/16/2019,9:00 PM - 9:59 PM,3,77.15,4
6/16/2019,9:00 AM - 9:59 AM,3,180.84,15
6/16/2019,9:00 AM - 9:59 AM,3,584.21,40
6/16/2019,10:00 AM - 10:59 AM,3,477.51,29
6/16/2019,1:00 PM - 1:59 PM,3,491.4,25
6/16/2019,4:00 PM - 4:59 PM,3,129.58,10
6/16/2019,5:00 PM - 5:59 PM,3,568.65,29
6/16/2019,6:00 PM - 6:59 PM,3,521.45,26
6/16/2019,11:00 AM - 11:59 AM,3,364.41,47
6/16/2019,11:00 AM - 11:59 AM,3,443.67,23
6/16/2019,12:00 PM - 12:59 PM,3,352.55,21
6/16/2019,2:00 PM - 2:59 PM,3,207.04,11
6/16/2019,3:00 PM - 3:59 PM,3,220.87,4
6/16/2019,5:00 PM - 5:59 PM,3,409.22,8
6/16/2019,6:00 PM - 6:59 PM,3,462.37,21
6/16/2019,7:00 PM - 7:59 PM,3,497.83,28
6/16/2019,8:00 PM - 8:59 PM,3,211.63,12
6/16/2019,10:00 PM - 10:59 PM,3,-31.78,0
6/16/2019,7:00 AM - 7:59 AM,3,0,0
6/16/2019,7:00 AM - 7:59 AM,3,188.07,11
6/16/2019,8:00 AM - 8:59 AM,3,322.52,15
6/16/2019,8:00 AM - 8:59 AM,3,536.96,32
6/16/2019,8:00 AM - 8:59 AM,3,410.76,24
6/16/2019,9:00 AM - 9:59 AM,3,262.92,13
6/16/2019,10:00 AM - 10:59 AM,3,421.09,20
6/16/2019,1:00 PM - 1:59 PM,3,408.22,23
6/16/2019,3:00 PM - 3:59 PM,3,193.61,10
6/16/2019,8:00 PM - 8:59 PM,3,213.76,5
6/16/2019,8:00 PM - 8:59 PM,3,190.48,12
6/16/2019,10:00 PM - 10:59 PM,3,-158.84,1
